Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,SIMD2020v2_Rank,SIMD_2020v2_Percentile,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,income_rate,income_count,employment_rate,employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband
S01008856,Canonmills and New Town North,City of Edinburgh,560,461,6826,98,20,10,5,6217.5,6521,6854,6610,6968,4267,550,3%,14,2%,9,30,0,0,88,12%,0%,42,84%,*,21,0%,11%,8,145,99,49,18%,9%,0.902673488,1.362482206,1.464724199,3.158742331,1.002495552,3.4925,2.31544484,3.285275801,2.706717082,0%
S01008857,Stockbridge,City of Edinburgh,807,619,6694,96,20,10,5,5463,6156,6721,6559,5941,5629,2254,4%,32,2%,15,25,60,14,30,13%,0%,61,*,*,22,0%,10%,6,75,79,33,10%,4%,2.101155105,2.598121728,1.901724476,3.140689655,2.486200916,2.903409091,7.717817408,5.481524869,7.429901832,0%
S01008858,Stockbridge,City of Edinburgh,627,455,6616,95,19,10,5,5624,6587,6902,6939,3893,3494,3354,4%,23,2%,8,25,24,0,31,12%,0%,41,*,*,9,0%,16%,12,194,37,24,7%,4%,2.844021739,2.685932971,2.489655797,3.39204918,2.860235507,4.0175,9.771376812,8.175362319,9.940688406,0%
S01008859,Stockbridge,City of Edinburgh,1090,784,6195,89,18,9,5,4798,6362,5077,6272,6820,4737,934,6%,60,2%,17,65,34,38,89,13%,0%,70,*,*,21,0%,17%,13,121,179,63,16%,6%,3.163607367,1.594950584,2.312832435,1.162171053,2.213005391,2.056111111,4.553879155,4.948746631,5.792309075,0%
S01008860,Stockbridge,City of Edinburgh,877,685,5426,78,16,8,4,4682,4844,5099,5380,6845,3126,1123,6%,51,4%,31,60,91,36,101,14%,0%,63,85%,5.83,26,3%,8%,19,219,136,45,15%,5%,4.15015873,1.472689909,1.694498299,1.940509554,1.584668367,3.062417582,3.608798186,3.442103175,3.725,0%
S01008861,Stockbridge,City of Edinburgh,777,533,6976,100,20,10,5,6950,6948,6966,6929,5773,5028,5056,1%,5,1%,4,10,13,0,46,12%,0%,47,*,*,11,0%,36%,8,104,36,15,5%,2%,4.025918301,2.044094771,2.35653268,2.832597403,2.129738562,3.461634615,6.561245098,7.098964052,6.761068627,0%
S01008862,Stockbridge,City of Edinburgh,943,757,6033,87,18,9,5,5203,5085,6045,6728,6352,3997,724,5%,43,4%,31,45,45,20,80,13%,3%,57,*,*,18,0%,17%,15,161,152,58,17%,7%,4.113472064,2.215347777,1.107149373,2.68293578,1.389005131,3.778773585,5.354846066,3.125843786,3.811824401,1%
S01008863,Stockbridge,City of Edinburgh,655,469,6588,95,19,10,5,5404,6344,5952,6557,6496,3384,3400,4%,27,2%,10,40,68,0,67,13%,3%,78,*,4.80,24,0%,28%,13,201,51,29,7%,4%,3.729382674,2.811047067,1.052230559,2.586348315,2.033335607,3.610211268,5.11648704,2.986889495,4.910402456,0%
S01008864,Comely Bank,City of Edinburgh,1456,1044,6732,97,20,10,5,6921,6941,6813,6155,2202,4249,4719,1%,12,1%,8,35,12,0,33,5%,7%,60,*,*,10,0%,3%,21,146,38,16,5%,2%,3.38728988,4.983857204,3.586674528,2.7891,4.027883791,2.99875,11.5890223,9.824927101,11.30033448,5%
S01008865,Comely Bank,City of Edinburgh,966,688,6870,99,20,10,5,6288.5,6834,6805,6443,4343,5439.5,3350,2%,23,1%,9,30,12,12,63,9%,0%,51,88%,6.11,24,0%,17%,8,84,51,43,6%,5%,2.80355,3.857432353,2.677388235,1.8075,3.338458824,2.632707317,8.138852941,6.775444118,8.503588235,9%
S01008866,Comely Bank,City of Edinburgh,766,591,6890,99,20,10,5,6229,6921,6859,6386,5264,4517,3121,2%,19,1%,5,20,19,0,93,12%,2%,51,*,*,15,0%,20%,10,132,66,28,8%,4%,3.340065789,3.006234336,1.724057018,2.2710625,2.427346491,3.2209,7.395814536,5.685194236,7.28495614,1%
S01008867,Comely Bank,City of Edinburgh,870,584,6965,100,20,10,5,6958,6892,6963,6971,4480,5502,4771,1%,5,1%,6,10,33,0,72,9%,5%,49,*,*,10,0%,28%,7,82,29,30,4%,4%,3.469640625,3.034696875,2.7400375,3.380588235,2.539740625,3.15923913,8.478115625,8.59510625,8.31008125,0%
S01008868,Deans Village,City of Edinburgh,940,810,4705,68,14,7,4,5141,4828,6061,6497,4239,33,840,5%,44,5%,37,40,101,175,83,10%,8%,57,*,6.40,13,5%,11%,202,2145,125,40,17%,6%,5.701381323,2.363148508,1.830577173,5.376416667,3.564649805,3.309259259,5.301319715,4.949325551,6.783200389,0%
S01008869,Deans Village,City of Edinburgh,1203,844,6338,91,19,10,5,5232,6233,6401,6388,4269,4014,2867,4%,54,2%,20,40,37,0,61,12%,3%,60,*,5.43,18,0%,20%,19,160,99,27,10%,3%,4.272507515,1.861307615,2.94636022,4.636449275,3.480663828,2.845982143,5.554684369,8.942044088,10.42136523,0%
S01008870,Deans Village,City of Edinburgh,888,610,6559,95,19,10,5,6675,6740,6568,5210,3066,4424,2290,2%,14,2%,9,30,132,14,91,10%,3%,55,*,*,16,0%,13%,12,137,74,36,10%,5%,3.817612179,2.606455128,3.593429487,4.669050633,3.883362179,3.062916667,7.74574359,10.76923718,13.03535256,0%
S01008871,Deans Village,City of Edinburgh,1237,959,6848,99,20,10,5,6542,6854,6890,5812,6118,2982,2175,2%,23,1%,11,20,61,9,58,9%,7%,48,*,*,9,0%,8%,28,229,142,12,14%,1%,4.826112141,1.510386932,2.090711307,4.30005618,2.865773865,2.437926829,4.497993513,4.325565338,6.701346154,0%
S01008872,Deans Village,City of Edinburgh,887,707,6267,90,18,9,5,5943,6093,6418,5355,5473,1881,2885,3%,27,3%,18,40,44,13,75,10%,0%,59,*,*,32,0%,3%,30,343,96,11,11%,1%,4.142904455,2.153757327,2.491483001,3.787095238,2.402637749,2.638414634,5.987368113,5.414021102,5.433385111,0%
S01008873,Deans Village,City of Edinburgh,720,487,6895,99,20,10,5,6839,6832,6894,6889,5619,1711,4940.5,1%,8,1%,6,20,15,0,65,11%,4%,53,*,*,9,0%,23%,26,366,31,17,5%,2%,3.342984104,2.691600434,3.709479769,2.606929825,1.973533237,3.383625,5.580375723,7.171517341,5.206669075,0%
S01008874,Deans Village,City of Edinburgh,1016,738,6092,88,18,9,5,5350,6016,5640,5214,5090,3129,4361.5,4%,43,3%,20,50,50,11,64,13%,3%,74,80%,5.38,29,0%,15%,22,219,63,8,7%,1%,2.830082547,3.167473467,3.069097877,2.478643725,1.640616156,3.508629032,7.567370283,8.743685142,5.137040094,2%
S01008875,Balgreen and Roseburn,City of Edinburgh,866,647,5488,79,16,8,4,4925,5104,5809,4952,6438,2518,617,5%,45,4%,26,55,19,61,91,13%,4%,52,67%,*,33,5%,7%,23,269,160,47,20%,6%,1.795228659,2.64307622,3.046484756,1.222687861,1.421402439,3.538915663,5.833256098,7.465286585,3.454402439,0%
S01008876,Balgreen and Roseburn,City of Edinburgh,623,363,6706,97,20,10,5,6442,6637,6273,6424,5842,1283,6594,2%,13,2%,6,40,6,0,62,14%,0%,75,85%,6.22,26,0%,19%,27,439,10,6,2%,1%,3.834280239,1.517653322,2.888415673,3.347349727,2.302504259,4.514764706,4.15560477,7.183551959,5.115911414,0%
S01008877,Balgreen and Roseburn,City of Edinburgh,531,343,6902,99,20,10,5,6241,6802,6662,6786,5117,3836.5,6290.5,2%,13,1%,5,30,64,0,54,12%,0%,57,*,6.33,21,0%,15%,9,172,14,6,3%,1%,4.241099453,1.545638686,2.137417883,3.516011236,3.149703467,5.5175,5.832034672,6.048754562,6.247591241,0%
S01008878,Balgreen and Roseburn,City of Edinburgh,865,535,3730,54,11,6,3,3359.5,3171.5,3534,3679,4628,3242,4431,10%,88,9%,46,90,119,139,70,17%,0%,92,87%,5.25,100,2%,10%,18,211,63,11,7%,1%,4.077127894,1.543712789,1.753029217,3.303160377,3.91823043,6.241111111,6.628963616,6.607373208,9.721300992,0%
S01008879,Balgreen and Roseburn,City of Edinburgh,823,540,5366,77,16,8,4,4721.5,4987,6266,3816,4809,3088,5093,6%,47,4%,23,45,9,17,83,14%,5%,55,81%,5.80,62,5%,7%,18,222,37,17,5%,2%,3.937347001,1.233623011,1.613626071,3.337649007,4.582757038,6.620128205,5.79621787,6.958188494,10.74104039,0%
S01008880,Balgreen and Roseburn,City of Edinburgh,630,420,5629,81,17,9,5,5259.5,5231,5394,5961,5414,948,6451,4%,28,4%,16,50,81,51,114,14%,0%,62,*,5.50,25,4%,26%,32,515,17,2,3%,0%,4.572815495,0.86211262,2.248658147,3.685327869,4.469852236,6.445595238,2.965303514,7.237523962,7.897412141,0%
S01008881,Murrayfield and Ravelston,City of Edinburgh,683,398,6915,100,20,10,5,6825,6585,6595,6876,3714,5652,5142,1%,8,2%,7,35,35,0,107,11%,0%,50,*,6.88,13,0%,22%,5,74,22,12,4%,2%,4.572654905,1.836123064,3.430232358,4.6953,3.283364888,5.030932203,5.63869191,7.368537005,6.313657487,0%
S01008882,Murrayfield and Ravelston,City of Edinburgh,1071,658,6913,100,20,10,5,6574,6732,6844,6696,5979,2302,6378,2%,19,2%,10,30,11,14,36,9%,3%,49,*,*,12,0%,28%,31,293,26,7,3%,1%,3.556195349,1.768760465,4.05987907,2.841218487,1.815648837,3.439242424,5.270065116,8.161481395,5.033055814,0%
S01008883,Murrayfield and Ravelston,City of Edinburgh,1092,588,6911,100,20,10,5,6899,6874,6582,6346,3755,4560,6635,1%,10,1%,6,30,30,0,125,17%,5%,44,*,*,19,0%,32%,14,130,19,3,2%,0%,3.038137306,2.745443005,3.384943005,4.413658537,2.797976684,3.232105263,9.152834197,10.89953886,9.167875648,0%
S01008884,Murrayfield and Ravelston,City of Edinburgh,721,392,6832,98,20,10,5,6840,6527,6720,6787,3583,3245,6842,1%,8,2%,8,25,10,26,75,12%,0%,64,*,6.00,14,0%,28%,15,211,1,10,0%,1%,1.84476983,3.503385269,2.167177762,4.173658537,3.870300992,3.931730769,9.959298867,9.09779745,10.33550992,0%
S01008885,Murrayfield and Ravelston,City of Edinburgh,876,528,6925,100,20,10,5,6945,6685,6816,6753,4358,3282,6624,1%,6,2%,9,25,25,18,52,10%,6%,52,*,5.00,11,0%,51%,18,208,19,4,2%,0%,1.745411036,3.57151464,2.45661036,3.01452381,3.520819257,3.461964286,8.352280405,7.785377252,11.20220158,0%
S01008886,"Craigleith, Orchard Brae and Crewe Toll",City of Edinburgh,923,627,6852,99,20,10,5,6882,6922,6823,6774,2879,4299,4224,1%,9,1%,6,20,28,0,78,12%,3%,57,*,6.27,19,2%,19%,13,143,65,5,8%,1%,2.280163108,4.174145907,3.331853499,2.307653061,4.023561684,3.615955056,11.59338078,10.58883749,12.95929419,0%
S01008887,"Craigleith, Orchard Brae and Crewe Toll",City of Edinburgh,779,483,6596,95,19,10,5,6380,6258,6115,6731,3203,3682,5847,2%,17,2%,11,35,63,20,83,11%,0%,81,91%,6.13,16,2%,30%,14,182,25,12,3%,2%,1.749266234,4.273298701,2.887461039,2.4659375,4.183597403,3.563894472,10.57325974,8.705103896,10.32098052,2%
S01008888,"Craigleith, Orchard Brae and Crewe Toll",City of Edinburgh,672,490,6564,95,19,10,5,6355.5,6923,6789,5903,1896,5627,4812,2%,15,1%,4,25,62,17,54,9%,0%,57,*,*,8,0%,21%,5,75,41,2,7%,0%,2.132267736,4.136127534,3.779083615,4.468989637,4.601516047,5.192936508,10.76141047,9.943842905,12.30256757,0%
S01008889,"Craigleith, Orchard Brae and Crewe Toll",City of Edinburgh,885,624,6707,97,20,10,5,6673,6647.5,6715,6406,3896,2577,2835,2%,14,2%,11,30,31,0,59,11%,2%,56,88%,6.22,41,0%,25%,23,263,62,7,11%,1%,1.36077952,3.228274908,2.942273985,3.787738095,3.815830258,4.885512821,7.574197417,6.905175277,9.343256458,0%
S01008890,"Craigleith, Orchard Brae and Crewe Toll",City of Edinburgh,654,392,5325,77,16,8,4,5699,4415,5350,6432,2463,2014,5626,4%,23,5%,21,60,0,0,180,13%,14%,77,91%,6.25,35,2%,19%,21,325,32,7,4%,1%,2.010449791,4.513633194,3.40042887,2.886207865,4.613811018,3.859615385,11.69154114,10.90495816,12.5667887,0%
S01008891,"Craigleith, Orchard Brae and Crewe Toll",City of Edinburgh,771,440,6474,93,19,10,5,6781,6899,6636,6886,2682,1006,5906,1%,10,1%,4,30,10,0,64,13%,0%,65,*,6.33,24,0%,38%,38,499,26,10,3%,1%,1.469642857,4.149505242,2.719931193,2.919565217,4.098443644,4.235888889,12.45536042,11.38526868,11.10865662,2%
S01008892,Blackhall,City of Edinburgh,1009,578,5793,84,17,9,5,4594,5574.5,5080,5797,6067,2970,4592,6%,61,3%,19,55,64,77,81,13%,4%,80,89%,5.62,28,2%,16%,23,231,64,12,7%,1%,1.463352214,2.571156025,1.315059217,3.072045455,3.593496395,3.43535533,6.682950566,4.624809475,8.515988671,0%
S01008893,Blackhall,City of Edinburgh,931,544,6906,99,20,10,5,6404,6717,6730,6866,6263,2292,6775,2%,20,2%,9,25,67,0,72,10%,3%,62,95%,6.17,17,1%,31%,27,294,6,11,1%,1%,2.20831044,1.759442308,1.40971978,2.929201681,3.73128022,3.394685315,4.809164835,4.831445055,9.082582418,0%
S01008894,Blackhall,City of Edinburgh,906,499,6966,100,20,10,5,6960,6879,6932,6974,4208,5571,6756,1%,5,1%,5,15,37,40,39,7%,0%,57,*,6.43,14,0%,38%,7,78,13,4,1%,0%,3.250817972,2.615230415,2.56202477,1.864561644,4.282370392,2.720481172,7.613510945,8.863502304,13.11793203,1%
S01008895,Blackhall,City of Edinburgh,891,475,6926,100,20,10,5,6473,6454,6329,6927,5025,5546,5941,2%,18,2%,10,35,14,21,143,16%,0%,54,*,6.16,19,1%,24%,7,80,25,8,3%,1%,3.608553125,1.8778375,2.760840625,2.233622449,3.3863375,3.242974684,4.68590625,7.51655625,12.34398125,1%
S01008896,Blackhall,City of Edinburgh,721,443,6971,100,20,10,5,6918,6947,6908,6891,4018,6598,6696,1%,6,1%,3,25,6,0,35,8%,4%,57,*,6.24,24,0%,17%,*,*,13,0,2%,0%,4.429227032,1.847875442,3.137597173,2.686518325,3.352416078,4.065669643,7.375079505,10.85065813,12.33825088,0%
S01008897,Blackhall,City of Edinburgh,718,405,6928,100,20,10,5,6916,6723,6752,6877,3950,4335,5073,1%,6,2%,6,30,21,23,66,9%,0%,52,*,6.21,25,0%,28%,10,141,41,5,6%,1%,4.644814949,2.02777939,3.239361393,3.387839506,3.541429608,4.598857143,5.337532656,9.325159652,9.890638607,0%
S01008898,Blackhall,City of Edinburgh,867,477,6867,99,20,10,5,6868,6622,6493,6800,6326,1518,5809,1%,9,2%,8,35,38,22,59,10%,0%,64,95%,6.04,26,0%,30%,34,397,34,9,4%,1%,2.695324713,1.448135057,1.593666667,3.001609195,2.657382184,4.020294118,5.045844828,6.228724138,7.815321839,0%
S01008899,Drylaw,City of Edinburgh,874,542,1130,17,4,2,1,828,1433,2161,705,4604,1064,754,25%,221,15%,81,150,140,139,96,18%,8%,95,69%,4.74,148,8%,3%,43,487,188,11,22%,1%,3.91868624,2.901358244,2.376791222,2.377634615,2.528540925,3.922288732,9.740839265,7.583048636,7.904347568,0%
S01008900,Drylaw,City of Edinburgh,958,620,2390,35,7,4,2,2689,3010,2776,1379,4916,528,1617,13%,124,9%,56,110,70,163,102,18%,8%,107,73%,4.96,119,9%,5%,66,687,131,33,14%,3%,3.815292722,2.901078586,2.998225211,1.742909699,2.734195675,3.850469799,7.730300633,7.696155063,7.458982068,0%
S01008901,Drylaw,City of Edinburgh,950,618,2707,39,8,4,2,2497.5,2785,2683,1869,5501,3526,1844,14%,131,10%,60,125,81,186,91,19%,3%,96,79%,4.85,137,4%,7%,18,192,121,16,14%,2%,2.886687352,2.710307329,2.445109338,1.90981405,2.542287234,3.903741722,7.338144208,7.320466903,7.521956265,0%
S01008902,Drylaw,City of Edinburgh,1090,724,1582,23,5,3,2,1714,1852,3015,721,3577,874,829,18%,197,13%,95,130,88,25,88,17%,10%,88,74%,4.11,137,6%,3%,59,539,176,55,17%,5%,1.806018155,3.256329735,3.100792444,3.792412141,3.479509323,5.321593407,8.119813543,8.883488714,9.722026497,0%
S01008903,Drylaw,City of Edinburgh,981,601,2486,36,8,4,2,2472,2217,2471,2368,6383,1667,2334,14%,136,12%,70,125,32,119,117,22%,0%,112,81%,5.32,118,3%,4%,36,372,123,15,13%,2%,2.337110187,2.437512994,1.625582121,2.116698113,2.269703742,3.198920705,6.923783784,4.785181913,6.670218295,0%
S01008904,West Pilton,City of Edinburgh,1043,700,1741,25,5,3,2,1317,2135,2998,1201,6767,585,539,21%,218,12%,84,125,71,62,97,15%,4%,100,71%,5.09,131,4%,2%,68,651,253,31,24%,3%,2.391712488,1.700517241,1.578842032,2.39,1.409606244,2.508252427,6.58973439,4.572961323,5.508869991,0%
S01008905,West Pilton,City of Edinburgh,1121,740,1026,15,3,2,1,1142,1208,1170,707,6929,347,290,22%,250,16%,120,170,205,221,191,18%,7%,120,71%,4.93,187,9%,5%,92,822,263,89,24%,8%,3.092305108,1.291440412,1.522381272,1.97871345,1.112715054,1.660182927,5.254292115,4.520595878,3.816111111,0%
S01008906,West Pilton,City of Edinburgh,823,587,1012,15,3,2,1,1254,899,1169,741,6344,680,720,21%,176,18%,107,155,285,371,131,21%,4%,129,59%,5.24,146,9%,7%,50,603,174,21,21%,3%,2.877293973,1.832109471,2.019372694,2.139228395,1.601325338,2.274097222,8.105319803,6.72597171,6.647306273,0%
S01008907,West Pilton,City of Edinburgh,930,608,944,14,3,2,1,996,1390,1118,443,5597,643,235,24%,220,15%,93,185,157,208,140,19%,9%,122,68%,4.80,209,11%,7%,58,621,231,5,33%,1%,1.827785405,2.228634393,2.109660405,1.890780781,2.260953757,2.827509294,8.705946532,8.249544798,10.36402457,0%
S01008908,West Pilton,City of Edinburgh,1257,878,1960,29,6,3,2,2074,2436,2968,731,6416,535,1053,16%,201,11%,95,105,82,249,101,18%,7%,94,63%,4.85,157,8%,9%,86,685,181,14,19%,2%,1.873439182,1.694149623,1.481660388,2.474034483,3.386353606,3.955337838,4.512325081,3.968993541,11.39923305,0%
S01008909,Boswall and Pilton,City of Edinburgh,769,516,2638,38,8,4,2,2320,3069,3199,1320,6086,2338,2466,15%,112,9%,46,95,58,75,71,20%,4%,108,67%,5.21,117,4%,3%,22,290,86,25,11%,3%,2.402562735,1.35336261,1.442964241,3.093134328,4.321740903,4.331887417,4.132434128,4.46217064,12.82251568,0%
S01008910,Boswall and Pilton,City of Edinburgh,520,374,3431,50,10,5,3,3305,3313,3546,2487,3644,4086,3128,10%,54,8%,31,90,17,135,123,18%,3%,96,71%,5.89,117,2%,5%,8,156,34,22,7%,5%,2.477757353,2.368571429,2.562778361,2.776396396,5.318613445,5.212371795,7.984390756,7.808802521,12.33279412,0%
S01008911,Boswall and Pilton,City of Edinburgh,1262,988,4958,72,15,8,4,5221,5472,4706,4519,2291,2481,710,5%,57,4%,35,55,46,51,527,12%,2%,80,77%,5.38,43,0%,13%,34,273,202,5,23%,1%,2.212824074,2.915759804,2.978755447,3.368533333,5.428360566,5.590718563,11.616122,11.34941176,11.95561002,0%
S01008912,Boswall and Pilton,City of Edinburgh,787,480,6505,94,19,10,5,6333,5962,6162,6434,3370,4108,5243,2%,18,3%,13,40,34,39,62,14%,0%,63,94%,6.21,57,0%,17%,12,154,46,4,6%,1%,2.776887626,4.143415404,1.872629419,2.703430962,3.775931187,5.728893805,11.11994634,7.627512626,8.190767045,0%
S01008913,Boswall and Pilton,City of Edinburgh,721,488,4685,68,14,7,4,4470,5636,5660,2097,2368,5428,2107,6%,46,3%,16,55,17,0,91,12%,3%,77,78%,4.69,92,7%,9%,6,84,85,19,12%,3%,3.369002193,3.054630848,2.539959795,2.783556701,5.593574561,5.95216,9.822843567,9.53311038,12.36651316,0%
S01008914,Boswall and Pilton,City of Edinburgh,919,582,4308,62,13,7,4,3935,4224,3264,3894,5097,2963,2577,8%,73,6%,34,100,62,33,82,19%,0%,106,86%,5.46,102,1%,11%,21,231,106,12,12%,1%,3.644207949,3.305832373,1.065590438,1.766485356,3.946362327,5.817923729,8.609406682,3.610656682,8.36890841,0%
S01008915,Boswall and Pilton,City of Edinburgh,569,332,6022,87,18,9,5,5279,5183,4999,6643,5178,4008,4331,4%,25,4%,13,65,34,59,45,15%,11%,76,89%,6.33,34,0%,31%,9,160,47,1,8%,0%,4.002508787,3.319973638,1.110795255,1.561279762,3.820615114,5.903453608,7.508334798,4.156801406,7.300755712,0%
S01008916,Granton South and Wardieburn,City of Edinburgh,1052,630,1095,16,4,2,1,912,1087,1270,1553,4506,744,1512,24%,257,17%,105,160,107,251,107,23%,2%,133,76%,4.94,167,5%,10%,61,578,183,11,17%,1%,3.540027422,3.046576782,1.565943784,1.741201717,4.594195612,5.276138996,7.33261883,5.8863734,10.59490631,0%
S01008917,Granton South and Wardieburn,City of Edinburgh,782,532,868,13,3,2,1,838,959,1091,1043,5527,168,1270,25%,197,18%,94,170,217,355,157,21%,12%,114,67%,5.53,162,15%,6%,85,1088,123,10,18%,1%,2.98625,2.063474638,2.028333333,1.256470588,5.211355072,4.826009174,5.400210145,5.246086957,10.07989493,0%
S01008918,Granton South and Wardieburn,City of Edinburgh,625,416,411,6,2,1,1,499,485,835,63,4829,2026,1182,29%,181,22%,91,195,371,360,163,17%,6%,120,61%,4.25,206,12%,4%,20,324,114,3,20%,1%,2.737016267,2.486382705,2.125851884,1.485932203,5.115192637,4.424329897,7.361464041,6.254546233,11.23532106,0%
S01008919,Granton South and Wardieburn,City of Edinburgh,582,388,303,5,1,1,1,307,412,460,356,3669,231,854,32%,185,23%,88,225,298,165,200,21%,10%,128,69%,4.82,172,10%,1%,56,957,110,13,20%,2%,2.921985294,2.873860294,2.571089154,2.313302752,5.182463235,4.621219512,8.513193934,7.21234375,10.56982537,0%
S01008920,Granton and Royston Mains,City of Edinburgh,1366,1080,4594,66,14,7,4,4495,4621,5760,4783,2354,1781,661,6%,86,5%,53,50,96,0,60,14%,4%,63,83%,5.85,44,2%,8%,49,356,256,10,24%,1%,2.965669767,3.514418605,3.063046512,3.099387755,5.080623256,5.053571429,8.932253488,8.154402326,12.12817442,0%
S01008921,Granton and Royston Mains,City of Edinburgh,910,544,355,6,2,1,1,287,591,348,246,5725,1141,791,32%,294,21%,111,205,248,282,179,23%,4%,181,65%,4.91,219,10%,4%,43,468,165,10,22%,1%,2.146569536,1.807940397,1.839198675,2.500092308,4.605440397,3.993496732,5.82847351,5.414874172,9.004350993,0%
S01008922,Granton and Royston Mains,City of Edinburgh,823,550,1438,21,5,3,2,1153,1805,1370,851,5696,3824,1078,22%,183,13%,72,165,107,103,130,21%,8%,129,68%,4.92,139,6%,3%,14,172,136,27,17%,3%,2.433735669,1.345216561,1.646378981,2.476910112,4.809175159,4.32259434,3.567506369,3.645280255,11.24220701,1%
S01008923,Granton and Royston Mains,City of Edinburgh,867,536,1714,25,5,3,2,1560,1750,1899,798,6914,4351,1398,19%,166,14%,72,105,183,138,113,28%,9%,117,61%,5.32,158,5%,4%,12,140,116,24,15%,3%,1.586708945,0.922293057,0.88900534,2.972611465,3.991648865,3.312671233,2.343731642,2.256849132,9.647797063,0%
S01008924,Granton West and Salvesen,City of Edinburgh,945,629,765,11,3,2,1,1032,787,778,471,5716,502,958,23%,220,19%,118,195,129,143,150,24%,3%,135,67%,4.80,197,6%,4%,67,708,185,28,19%,3%,1.908994399,2.482958248,1.811950102,2.771728188,2.836601324,2.769848485,8.507153768,6.218622709,9.445845214,0%
S01008925,Granton West and Salvesen,City of Edinburgh,774,474,2248,33,7,4,2,1785,2656,3522,1487,4821,1542,1294,18%,137,10%,48,105,54,20,128,17%,10%,81,78%,4.81,113,13%,4%,30,393,77,57,11%,8%,3.156099855,2.460115774,2.357091172,2.467975779,2.497872648,2.701840491,10.182178,9.299232996,9.809710564,0%
S01008926,Granton West and Salvesen,City of Edinburgh,579,401,3443,50,10,5,3,3313.5,4211,4048,1879,6778,411,4545,10%,60,6%,23,85,27,0,116,17%,3%,92,70%,5.32,132,4%,8%,45,770,46,2,8%,0%,2.301379736,1.924798188,1.76961285,2.67758427,2.188406096,1.652941176,5.312063427,4.30857084,5.450362438,0%
S01008927,Granton West and Salvesen,City of Edinburgh,1032,828,3394,49,10,5,3,3211,3474,3543,2458,5946,2807,413,11%,111,8%,64,100,83,19,130,14%,3%,95,75%,5.00,78,6%,10%,25,245,228,0,29%,0%,2.638557572,2.490065707,2.427747184,3.227825203,2.75359199,2.001521739,6.878010013,5.936508135,6.971573842,0%
S01008928,Granton West and Salvesen,City of Edinburgh,894,641,1999,29,6,3,2,2376,2922.5,1780,1134,4948,251,1090.5,14%,128,9%,60,140,93,101,129,21%,9%,127,70%,4.88,127,5%,4%,83,929,121,5,20%,1%,2.768081805,2.508504937,2.147196756,3.65773743,3.065631171,2.188277778,7.503233427,6.568702398,8.001593794,3%
S01008929,Muirhouse,City of Edinburgh,733,543,29,1,1,1,1,37,16,49,281,5942,244,612,43%,313,36%,197,285,345,686,217,28%,2%,152,63%,5.13,205,13%,4%,69,940,146,47,19%,6%,3.498677822,2.430777559,1.268261155,3.088944223,2.699238845,1.797602041,7.458054462,3.962125984,7.549104331,1%
S01008930,Muirhouse,City of Edinburgh,876,527,228,4,1,1,1,149,444,487,182,6613,101,588,37%,321,22%,117,195,255,239,168,25%,9%,146,67%,4.93,224,9%,2%,117,1330,224,11,25%,1%,4.008956736,1.842990142,1.212790252,2.992207294,2.196426616,2.254433107,6.023406353,3.806659365,6.952573932,0%
S01008931,Muirhouse,City of Edinburgh,1433,932,1332,20,4,2,1,1267,1786,1791,487,5793,1906,313,21%,305,13%,124,150,128,77,153,24%,6%,93,71%,4.94,207,5%,2%,49,339,210,31,27%,4%,4.434445876,2.245447809,2.343440722,2.467477314,2.677925258,2.342483871,6.590850515,6.570515464,7.900325387,0%
S01008932,Muirhouse,City of Edinburgh,954,673,2855,41,9,5,3,3308.5,3779,4463,892,4631,1143,431,10%,99,7%,46,90,62,25,106,13%,3%,66,73%,4.58,117,13%,3%,45,467,232,18,26%,2%,3.939686441,2.795118644,2.208062147,2.637085308,2.504759887,3.540294118,9.924971751,7.950175141,8.261943503,0%
S01008933,Muirhouse,City of Edinburgh,652,446,681,10,2,1,1,485,847,860,1020,4675,603,545,29%,190,19%,83,180,366,100,199,20%,13%,126,77%,4.81,182,4%,4%,42,637,171,10,25%,1%,4.692310496,2.603440233,1.588855685,3.297307692,3.013680758,2.798429752,9.898163265,6.238571429,11.14638484,0%
S01008934,Muirhouse,City of Edinburgh,908,625,1796,26,6,3,2,1653,2025,2007,1206,3753,2128,2124,19%,168,13%,78,145,216,71,135,17%,6%,106,73%,5.24,154,7%,3%,28,312,105,15,13%,2%,4.634867424,3.382705177,1.911991793,4.024146341,3.282891414,3.27952514,10.12041982,6.170416667,10.51522727,0%
